,Load (MW)
2018-06-02 01:00:00,84346
2018-06-02 02:00:00,79135
2018-06-02 03:00:00,75638
2018-06-02 04:00:00,73508
2018-06-02 05:00:00,72108
2018-06-02 06:00:00,72750
2018-06-02 07:00:00,74225
2018-06-02 08:00:00,77393
2018-06-02 09:00:00,82405
2018-06-02 10:00:00,87498
2018-06-02 11:00:00,91670
2018-06-02 00:00:00,95129
2018-06-02 13:00:00,97493
2018-06-02 14:00:00,99058
2018-06-02 15:00:00,100244
2018-06-02 16:00:00,101171
2018-06-02 17:00:00,101775
2018-06-02 18:00:00,101268
2018-06-02 19:00:00,99573
2018-06-02 20:00:00,97326
2018-06-02 21:00:00,95183
2018-06-02 22:00:00,92811
2018-06-02 23:00:00,87883
2018-06-02 12:00:00,81715
2018-06-03 01:00:00,74755
2018-06-03 02:00:00,70602
2018-06-03 03:00:00,67802
2018-06-03 04:00:00,66003
2018-06-03 05:00:00,65083
2018-06-03 06:00:00,65226
2018-06-03 07:00:00,65710
2018-06-03 08:00:00,67908
2018-06-03 09:00:00,72238
2018-06-03 10:00:00,76381
2018-06-03 11:00:00,79470
2018-06-03 00:00:00,81916
2018-06-03 13:00:00,83863
2018-06-03 14:00:00,85101
2018-06-03 15:00:00,85977
2018-06-03 16:00:00,86857
2018-06-03 17:00:00,87730
2018-06-03 18:00:00,88398
2018-06-03 19:00:00,87931
2018-06-03 20:00:00,87137
2018-06-03 21:00:00,86681
2018-06-03 22:00:00,84937
2018-06-03 23:00:00,80062
2018-06-03 12:00:00,74362
2018-06-04 01:00:00,68830
2018-06-04 02:00:00,65942
2018-06-04 03:00:00,64325
2018-06-04 04:00:00,63774
2018-06-04 05:00:00,64852
2018-06-04 06:00:00,68909
2018-06-04 07:00:00,75252
2018-06-04 08:00:00,80777
2018-06-04 09:00:00,84072
2018-06-04 10:00:00,86436
2018-06-04 11:00:00,88669
2018-06-04 00:00:00,90350
2018-06-04 13:00:00,91812
2018-06-04 14:00:00,93234
2018-06-04 15:00:00,94198
2018-06-04 16:00:00,95058
2018-06-04 17:00:00,95882
2018-06-04 18:00:00,96268
2018-06-04 19:00:00,95534
2018-06-04 20:00:00,94139
2018-06-04 21:00:00,93260
2018-06-04 22:00:00,90746
2018-06-04 23:00:00,84317
2018-06-04 12:00:00,77330
2018-06-05 01:00:00,70946
2018-06-05 02:00:00,67534
2018-06-05 03:00:00,65515
2018-06-05 04:00:00,64608
2018-06-05 05:00:00,65402
2018-06-05 06:00:00,69059
2018-06-05 07:00:00,75097
2018-06-05 08:00:00,80450
2018-06-05 09:00:00,83622
2018-06-05 10:00:00,85919
2018-06-05 11:00:00,88186
2018-06-05 00:00:00,89957
2018-06-05 13:00:00,91400
2018-06-05 14:00:00,92932
2018-06-05 15:00:00,93983
2018-06-05 16:00:00,94863
2018-06-05 17:00:00,95635
2018-06-05 18:00:00,95850
2018-06-05 19:00:00,94818
2018-06-05 20:00:00,93071
2018-06-05 21:00:00,92158
2018-06-05 22:00:00,90185
2018-06-05 23:00:00,83854
2018-06-05 12:00:00,76781
2018-06-06 01:00:00,70827
2018-06-06 02:00:00,67440
2018-06-06 03:00:00,65401
2018-06-06 04:00:00,64513
2018-06-06 05:00:00,65302
2018-06-06 06:00:00,69012
2018-06-06 07:00:00,75114
2018-06-06 08:00:00,80393
2018-06-06 09:00:00,83435
2018-06-06 10:00:00,85665
2018-06-06 11:00:00,87745
2018-06-06 00:00:00,89467
2018-06-06 13:00:00,90925
2018-06-06 14:00:00,92523
2018-06-06 15:00:00,93768
2018-06-06 16:00:00,94777
2018-06-06 17:00:00,95737
2018-06-06 18:00:00,96001
2018-06-06 19:00:00,95099
2018-06-06 20:00:00,93499
2018-06-06 21:00:00,92766
2018-06-06 22:00:00,90761
2018-06-06 23:00:00,84437
2018-06-06 12:00:00,77418
2018-06-07 01:00:00,71476
2018-06-07 02:00:00,67866
2018-06-07 03:00:00,65798
2018-06-07 04:00:00,64870
2018-06-07 05:00:00,65623
2018-06-07 06:00:00,69334
2018-06-07 07:00:00,75360
2018-06-07 08:00:00,80840
2018-06-07 09:00:00,84250
2018-06-07 10:00:00,87063
2018-06-07 11:00:00,89833
2018-06-07 00:00:00,92361
2018-06-07 13:00:00,94574
2018-06-07 14:00:00,97013
2018-06-07 15:00:00,98853
2018-06-07 16:00:00,100519
2018-06-07 17:00:00,101939
2018-06-07 18:00:00,102323
2018-06-07 19:00:00,101147
2018-06-07 20:00:00,99158
2018-06-07 21:00:00,97916
2018-06-07 22:00:00,95598
2018-06-07 23:00:00,88894
2018-06-07 12:00:00,81257
2018-06-08 01:00:00,74983
2018-06-08 02:00:00,70943
2018-06-08 03:00:00,68501
2018-06-08 04:00:00,67292
2018-06-08 05:00:00,67815
2018-06-08 06:00:00,71175
2018-06-08 07:00:00,76984
2018-06-08 08:00:00,82662
2018-06-08 09:00:00,86929
2018-06-08 10:00:00,90779
2018-06-08 11:00:00,94614
2018-06-08 00:00:00,97982
2018-06-08 13:00:00,100927
2018-06-08 14:00:00,103736
2018-06-08 15:00:00,105918
2018-06-08 16:00:00,107511
2018-06-08 17:00:00,108655
2018-06-08 18:00:00,108327
2018-06-08 19:00:00,106106
2018-06-08 20:00:00,102776
2018-06-08 21:00:00,100550
2018-06-08 22:00:00,98083
2018-06-08 23:00:00,92024
2018-06-08 12:00:00,84563
